nama_usaha,alamat_usaha,rt,rw,wilayah,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas_kamar
Ibis Budget Jakarta Daan Mogot,Jl. Daan Mogot No. 50 B,5,3,Jakarta Barat,Hartono Sundoro Hosea,PT. Sunindo Indah Hotel,021 4214330,021 4214331,Hotel Bintang,218/B
Ibis Slipi,Jl. Letjen S. Parman Kav. 58-59,,,Jakarta Barat,Kurnia Setiawan,PT. Putraswadaya Prasetya,021 53371570,021 5323880,Hotel Bintang,338/B3
Illigal's,Jl. Hayam Wuruk No. 108,,,Jakarta Barat,Khoe Yam Kusuma,PT. Sumber Sejahtera Sempurna,021 6298899,021 6298899,Hotel Bintang,42/B
Jayakarta Hotel,Jl. Hayam Wuruk No. 126,,,Jakarta Barat,Kristian Pudjiadi,"PT. Pudjiadi and Sons, Tbk",021 6496760,021 6293000,Hotel Bintang,335/B4
Mega Anggrek,Jl. Arjuna Selatan No. 4A,,,Jakarta Barat,Ir. Jang Achir Judi,PT. Bandaharo Nan Panjang,021 5363044,021 5370044,Hotel Bintang,200/B3
Menara Peninsula,Jl. Letjen S. Parman No. 78,,,Jakarta Barat,"Alfiri Lumban Batu, MBA",PT. Menara Peninsula,021 5350888,021 5359838,Hotel Bintang,400/B4
Mercure Jakarta Kota,Jl. Hayam Wuruk No. 123,,,Jakarta Barat,Hermawanto Sastrarahardjo,PT. Adhi Putra Mulia,021 6248680,021 6008441,Hotel Bintang,243/B4
Metropole,Jl. Pintu Besar Selatan No. 38,,,Jakarta Barat,Susani Kartina Karta,PT. Metropole Hotel,021 6905137,021 3808442,Hotel Bintang,40/B2
Mille's,"Lokasari Plaza Lt. 4, Jl. Mangga Besar Raya",,,Jakarta Barat,Setiadi Kumala,PT. Hanggar Mega Musik,021 6255318,021 6254704,Hotel Bintang,40/B
Novotel Gajah Mada,Jl. Gajah Mada No. 188,,,Jakarta Barat,Charles Honoris,PT. Mitra Mutiara Makmur,,,Hotel Bintang,235/B
Novotel Jakarta Slipi,Jl. Letjend. S. Parman Kav. 26,,,Jakarta Barat,Johanes Mardjuki,PT. Nirwana Jaya Semesta,,,Hotel Bintang,301/B
Olympic,Jl. Mangga Besar VII BLOK A.63,,,Jakarta Barat,Harijanto Aman,PT. Bercindo Bersama Jaya,021 6267280,021 6006633,Hotel Bintang,103/B2
Peninsula Hotel,Jl. Mangga Besar Raya No. 60,,,Jakarta Barat,Gunawan Latief,PT. Peninsula Karya Jaya,021 6260368,021 6593749,Hotel Bintang,90/B1
Pitagiri,Jl. Palmerah Barat No. 110,,,Jakarta Barat,Tjahja Widjaja,PT. Pitagiri Raya Sejahtera,021 5359359,021 5359359,Hotel Bintang,127/B
"Prime Biz Hotel @Grogol, Jakarta",Jl. Daan Mogot No. 52,,,Jakarta Barat,Lie Peter Leeansyah,PT. Angke Makmur Sejahtera,021 6343030,,Hotel Bintang,112/B
Prinsen Park,Jl. Mangga Besar IX No. 83-85,,,Jakarta Barat,Suwadi Soborono,PT. Duta Pendawa Kharisma,021 6289101,021 6289408,Hotel Bintang,89/B2
Royal Asia Premiere,Jl. Daan Mogot No. 42,12,4,Jakarta Barat,Juspine Muliawan,PT. Mutiara Indah Perkasa,,,Hotel Bintang,200/B
Royal Regal,Jl. Mangga Besar Raya VIII No. 27,,,Jakarta Barat,Ny. V. Sri Sudarsih,PT. Wira Wisata Indah,021 6260868,021 6260868,Hotel Bintang,180/B3
Sparks Hotel Jakarta,Jl. Mangga Besar Raya No. 44,,,Jakarta Barat,Rulli Maulana Muchidin,PT. Sumbermitra Asri Hotel,021 6252534,021 6299049,Hotel Bintang,113/B3
Stadium,Jl. Hayam Wuruk No. 111 GG - HH - II,,,Jakarta Barat,Rudy Susanto,PT. Graha Rekreasi Berjaya,,,Hotel Bintang,50/B
Sun City,Jl. Hayam Wuruk No. 127,,,Jakarta Barat,Andy Waspy,PT. Prima Cipta Sentosa,021 62201900,021 62201697,Hotel Bintang,100/B
Sydney 2000,Jl. Hayam Wuruk Komp Glodok Jaya Lt. 8,,,Jakarta Barat,Harijanto Aman,PT. Gema Surya Aman Jaya,021 6250685,021 6250685,Hotel Bintang,36/B
The Barera,Jl. Teh No. 1,11,7,Jakarta Barat,Jonatan,,,,Hotel Bintang,50/B
Travel,Jl. Mangga Besar VIII No. 21,,,Jakarta Barat,Foronkid Gunawan,PT. Seriatama Indoreka,021 6212721,021 6293810,Hotel Bintang,59/B2
Twin Plaza,Jl. Letjen S. Parman Kav. 93-94,,,Jakarta Barat,Hendra Lie,PT. Slipi Sri Indopuri,021 56960888,021 5690777,Hotel Bintang,211/B4
Aleander,Jl. Antara No. 35,,,Jakarta Pusat,Poli Hidayat,PT. Bungabunga Tigalima,021 38902105,021 3524652,Hotel Bintang,65/B2
Alia Cikini,Jl. Cikini Raya No. 32,,,Jakarta Pusat,Sri Mawarti,PT. Sentraria Alia Hotel,021 3164444,,Hotel Bintang,100/B2
Alia Pasar Baru,Jl. Pasar Baru Selatan No. 13,,,Jakarta Pusat,,PT. Sentraria Alia Hotel,021 3451920,021 3503129,Hotel Bintang,100/B1
Alila,Jl. Pecenongan Kav. 7-17,,,Jakarta Pusat,Donny Tjahyadikarta,PT. Sumbermitra Wisatagraha,021 2316008,021 2316007,Hotel Bintang,264/B4
All Seasons,Jl. KH. Zainul Arifin No. 5 & 7,2,1,Jakarta Pusat,Le Ie Kurniawan,PT. Loka Asri,021 6385611,021 63856565,Hotel Bintang,150/B
All Seasons Thamrin Hotel Project,Jl. Talang Betutu No. 02 / Jl. Tanjung Karang,,,Jakarta Pusat,Otto Putihrai,PT. Setia Meranti,,,Hotel Bintang,164/B
Alma,Jl. Aipda KS. Tubun No. 15-17,,,Jakarta Pusat,,PT. Sentra Nia,021 579251,021 5708739,Hotel Bintang,130/B1
Alpine,Jl. Gunung Sahari Raya No. 35,,,Jakarta Pusat,,PT. Alpine Perdana Hotel,021 6263833,021 6283832,Hotel Bintang,120/B3
Arcadia Hotel,Jl. KH. Wahid Hasyim No. 114 A,,,Jakarta Pusat,Fenza Sofyan,PT. Pesona Equator,021 2300050,021 2300995,Hotel Bintang,96/B3
Artotel Jakarta - Thamrin,Jl. Sunda No. 3,,,Jakarta Pusat,Erastus Pramudita Radjimin,PT. Altar Filadelfia,021 31925888,021 31925999,Hotel Bintang,107/B
Aryaduta,Jl. Prapatan No. 44-46,,,Jakarta Pusat,,PT. Hotel Prapatan,021 2311234,021 3809900,Hotel Bintang,325/B5
Atlantik,Jl. Salemba Raya No. 6,,,Jakarta Pusat,,PT. Atlantic Permata Hotel,021 3146123,021 4146122,Hotel Bintang,90/B3
Atlet Century Park,Jl. Pintu Satu Senayan,,,Jakarta Pusat,Nobertus Raharjo Mulyono,PT. Lingga Hamparan Krida,021 5712041,021 5712191,Hotel Bintang,613/B4
Banyuwangi Sintera,Jl. H. Samanhudi No. 32B-34,,,Jakarta Pusat,Ali Hasan,PT. Banyuwangi Sintera,021 3857551,021 3808581,Hotel Bintang,60/B1
Best Western Grand Palace,Jl. Benyamin Sueb No. A.5,,,Jakarta Pusat,Wahjono,PT. Global Permata Sejahtera,021 65860555,021 6580550,Hotel Bintang,156/B
Best Western Hotel & Residence,Jl. Mangga Dua Abdad No. 111,,,Jakarta Pusat,Iwanto Hartojo,PT. Mandiri Karya Cipta Indah,021 57932003,021 57931969,Hotel Bintang,168/B4
Betawi Sofyan,Jl. Cut Mutiah No. 9,,,Jakarta Pusat,Bagus Moeshari,"PT. Sofyan Hotel, Tbk",021 3905011,021 3902747,Hotel Bintang,100/B3
Bintang Baru,Jl. Dr. Sutomo No. 9,,,Jakarta Pusat,Hendro Susanto,PT. Praja Cipta Perkasa,021 3515533,021 3515656,Hotel Bintang,87/B2
Bintang Griyawisata,Jl. Raden Saleh No. 16,1,10,Jakarta Pusat,Hartono Tosin,PT. Bintang Wisata Mandiri,021 3922562,021 3922577,Hotel Bintang,93/B3
Blue Sky Smart Hotel,Jl. AIPDA KS. Tubun No. 19,5,6,Jakarta Pusat,Linan Kurniahu,PT. Cahaya Bintang Fortuna,021 29509999,021 29509998,Hotel Bintang,98/B
Borobudur Jakarta,Jl. Lapangan Banteng Selatan No. 1,,,Jakarta Pusat,"Yusuf Indradewa, SH",PT. Jakarta International Hotels & Dev,021 3805555,021 3809595,Hotel Bintang,695/B5
Bumi Johar,Jl. Johar 17 - 19,,,Jakarta Pusat,,,021 3145746,021 3145759,Hotel Bintang,51/B2
Business Hotel,Jl. Kota Bumi No. 1,,,Jakarta Pusat,Arifin Siman,PT. Bestland Nusantara,021 2310312,021 3446883,Hotel Bintang,100/B
C' One Hotel & Plaza,Jl. Letjend Suprapto No. 62,,,Jakarta Pusat,"Drs. Idris Sasmita, MM",PT. Jakarta Tourisindo,,,Hotel Bintang,52/B
C' One Hotel Cempaka Putih,Jl. Letjen Suprapto,,,Jakarta Pusat,"Idris Sasmita, MM",PT. Jakarta Tourisindo,021 4250126,021 4213051,Hotel Bintang,60/B1
Caravan,Jl. KH. Mas Mansyur No. 50,,,Jakarta Pusat,Nariman,PT. Hotel Caravan Exprindo,021 3928283,021 3928283,Hotel Bintang,40/B
Cemara Hotel,Jl. KH. Wahid Hasyim No. 69,,,Jakarta Pusat,Armin Bangun Boenawan,PT. Bangun Cemara Hotel,021 3908215,021 31924668,Hotel Bintang,60/B3
City Icon Residence,Jl. Mangga Besar Raya No. 98,,,Jakarta Pusat,Boy Christian Indra,,021 6398508,021 6399475,Hotel Bintang,42/B
Classic,Jl. H. Samanhudi No. 43-45,,,Jakarta Pusat,Rudy Susanto,PT. Buana Mitra Usaha,021 3852000,021 3852001,Hotel Bintang,133/B4
Clay Hotel,Jl. Blora No. 20,2,6,Jakarta Pusat,Ir. Yudha Bhakti,PT. Citra Putra Realty,021 31996275,021 31996275,Hotel Bintang,81/B
Delta Hotel,Komp. Harmoni Plaza B.33,,,Jakarta Pusat,Simon Presetio Liauw,PT. Sumber Agung Pratama Raya,,,Hotel Bintang,25/B
Dias,Jl. Kraan V No. 20,,,Jakarta Pusat,,,021 4209677,021 4253136,Hotel Bintang,65/B2
Double Tree By Hilton,Jl. Pegangsaan Timur No. 17,,,Jakarta Pusat,Rudiyanto Limantara,PT. Nurtirta Nusa Lestari,021 3500622,021 3500627,Hotel Bintang,253/B5
Emporium Boutique Hotel,Jl. Pecenongan No. 29,,,Jakarta Pusat,Dedy Sutandy,PT. Kandaga Asrigraha,021 38458563,021 38458563,Hotel Bintang,29/B3
Exitertel,Komp. Ruko Niaga Roxy Mas Blok D.V No. 8-12,,,Jakarta Pusat,Vendy,PT. Visi Multi Sarana,,,Hotel Bintang,16/B
Fairmont Hotel,Jl. Asia Afrika No. 8,,,Jakarta Pusat,Shuichi Oishi,PT. Senayan Trikarya Sempana,021 5723456,021 57900111,Hotel Bintang,485/B5
Fashion,Jl. Gunung Sahari XII No. 2,,,Jakarta Pusat,Wedji Hartono Pandojo,PT. Tumbuh Sehat Makmur,021 6490808,021 6490808,Hotel Bintang,58/B2
Fortune,Jl. KH. Mas Mansyur No. 13,,,Jakarta Pusat,Yogi Idham Fauzi,PT. Comfort Nusantara,021 56960598,021 56960598,Hotel Bintang,50/B
Glassio,Jl. Biak No. 54,,,Jakarta Pusat,Joe Efendi,PT. Kaneta Berlian Abadi,,,Hotel Bintang,66/B
Golden Boutique,"Jl. Angkasa No. 1, Gunung Sahari Utara",,,Jakarta Pusat,Rachmat Arifin,PT. Batara Tabaraka,021 6263001,021 6265736,Hotel Bintang,230/B4
Grand Alia Cikini,Jl. Cikini Raya No. 79,,,Jakarta Pusat,,,021 3924444,021 3928641,Hotel Bintang,110/B2
Grand Cemara Hotel,Jl. Cemara No. 1,,,Jakarta Pusat,Armin Bangun Boenawan,PT. Bangun Cemara Hotel,021 3908215,021 31924668,Hotel Bintang,105/B3
Grand Cempaka,Jl. Letjen Suprapto No. 27,,,Jakarta Pusat,"Drs. Idris Sasmita, MM",PT. Jakarta Tourisindo,021 4260066,021 4260055,Hotel Bintang,220/B4
Grand Hyatt Jakarta,Jl. MH. Thamrin Kav. 28-30,1,2,Jakarta Pusat,Arnes Lukman,PT. Plaza Indonesia Realty Tbk,021 3901234,021 3809900,Hotel Bintang,428/B5
Grand Mercure,Jl. Hayam Wuruk No. 36-37,,,Jakarta Pusat,"Baharja Halim,MBA",PT. Halim Bangun Sarana Indah,021 3453777,021 3453777,Hotel Bintang,400/B4
Grand Sahid Jaya,Jl. Jend. Sudirman Kav. 86,,,Jakarta Pusat,Ir.H.Hariyadi Budisantoso Sukamdani,"PT. Hotel Sahid Jaya International, Tbk.",021 5703232,021 5701619,Hotel Bintang,600/B5
Gren Alia Prapatan,Jl. Prapatan No. 28,,,Jakarta Pusat,Faisal Ali,PT. Hotel Gren Alia Prapatan,021 34834444,021 34835222,Hotel Bintang,110/B
Holiday INN Express,Jl. Tanjung Karang No. 1,10,20,Jakarta Pusat,Andreas Halim,PT. Solusi Multimedia Indonesia,021 57933722,021 57933714,Hotel Bintang,101/B
"Hotel  "" N """,Jl. Majapahit No. 12,,,Jakarta Pusat,Nariman,PT. Mulia Medinindo Mandiri,021 3505542,021 3507467,Hotel Bintang,63/B2
Hotel  N1,Jl. KS. Tubun No. 3,2,1,Jakarta Pusat,Nariman,PT. Hotel Royal Valindo,021 53653909,021 53653908,Hotel Bintang,84/B2
Hotel  N2,Jl. Gunung Sahari Raya No. 83,,,Jakarta Pusat,Nariman,PT. Dharma Countrindo,021 4213275,,Hotel Bintang,71/B2
Hotel Aryaduta Jakarta,Jl. Prapatan No. 44-48,,,Jakarta Pusat,Jessy Quantero,PT. Lippo Karawaci Tbk,021 3858770,021 3858765,Hotel Bintang,284/B5
Hotel Fave,Jl. KH. Samanhudi No. 26,5,3,Jakarta Pusat,Abujadi Hartawan,PT. Wisana Matrakarya,,,Hotel Bintang,90/B2
Hotel Grand City,Jl. Pal Putih No. 197 A,,,Jakarta Pusat,Nicky Lion,PT. Sri Varita Utama,021 3146161,021 3146161,Hotel Bintang,80/B3
Hotel Grand Hyatt Jakarta,Jl. MH. Thamrin Kav. 28-30,,,Jakarta Pusat,Arnes Lukman,PT. Plaza Indonesia Realty Tbk.,021 29921234,021 29921358,Hotel Bintang,428/B5
Hotel Indonesia Kempinski,Jl. MH. Thamrin No. 1,,,Jakarta Pusat,Ferdinandus Aming Santoso,PT. Grand Indonesia,021 23587000,021 23586000,Hotel Bintang,289/B
Hotel Mercure Sabang - Jakarta,Jl. KH. Agus Salim No. 11-13,,,Jakarta Pusat,Drs. Setyadi Surya,PT. Jakarta Regency Hotel,021 34834299,021 3100222,Hotel Bintang,166/B
Hotel Millennium Sirih Jakarta,Jl. H. Fachrudin No. 3,,,Jakarta Pusat,Ronnie Frans,PT. Millennium Sirih Jakarta Hotel,021 2303636,021 2303636,Hotel Bintang,401/B4
Hotel N3,Jl. KH. Zainul Arifin No. 57,1,3,Jakarta Pusat,Nariman,PT. Hotel Gitano Selaras,021 53653908,021 53653910,Hotel Bintang,42/B2
Hotel Patra Jasa,Jl. Jend. Ahmad Yani No. 2,,,Jakarta Pusat,,PT. Patra Jasa,,,Hotel Bintang,52/B3
Hotel Puri Jaya,Jl. Percetakan Negara V No. 5,,,Jakarta Pusat,Bambang Siswanto,PT. Sulaiman Maharaja Diraja,021 4215320,021 4215322,Hotel Bintang,135/B1
Hotel Sari Pan Pacific,Jl. MH. Thamrin No. 6,,,Jakarta Pusat,Ir. Teddy Suratmadji,PT. Sariarthamas Hotel International,021 2301170,021 3156692,Hotel Bintang,418/B4
Hotel Sentral,Jl. Pramuka Raya Kav. 63-64,,,Jakarta Pusat,R. Imba Kusumah,PT. Prajasarana Ciptamulia,021 4225511,021 4213839,Hotel Bintang,250/B3
Hotel Tugu Asri,Jl. Jati Baru No. 7-9,,,Jakarta Pusat,Lina Asmahan Abdullah,PT. Hotel Tugu Asri,021 31926292,021 3804301,Hotel Bintang,30/B1
Hotel Zuri Express,Jl. HOS. Cokroaminoto No. 82-84,,,Jakarta Pusat,Adil Hakim,,021 31925232,021 3102624,Hotel Bintang,150/B
Ibis Budget,Jl. Cikini Raya No. 75,,,Jakarta Pusat,"Andi Sofyan, SH",PT. Hotel Cikini Realty,,,Hotel Bintang,150/B1
Ibis Budget,Jl. HOS Cokroaminoto No. 79,,,Jakarta Pusat,L. Erfurt Chandra Putra Asali,"PT. Jakarta Setiabudi Internasional, Tbk",021 3918007,021 3918007,Hotel Bintang,135/B1
Ibis Hotel Senen Jakarta,Jl. Kramat Raya No. 100,3,8,Jakarta Pusat,Richard Aditya Nugraha,PT. Tasani Artha Niaga,021 45878553,021 45857433,Hotel Bintang,155/B3
Ibis Kemayoran,Jl. Bungur Besar Raya No. 79-81,,,Jakarta Pusat,Kang Jacob Antung,PT. Asia Wisata Promosindo,021 4210111,021 4211458,Hotel Bintang,132/B3
Ibis Mangga Dua,Jl. Pangerang Jayakarta / Jl. Gatep,3,6,Jakarta Pusat,Wiyandi The,PT. Pacific Corponusa,021 6250505,021 6250505,Hotel Bintang,202/B3
Ibis Tamarin,Jl. KH. Wahid Hasyim No. 77,,,Jakarta Pusat,Drs. T. Bachrumsjah Hamzah,PT. Tamarindo Nusa Hotel,021 3912323,021 3157707,Hotel Bintang,126/B3
Intercontinental Mid Plaza Jakarta,Jl. Kebembem,15,6,Jakarta Pusat,Husin Suhaidi Teng,PT. Prima Adhitama International Dev,021 5700599,021 5734555,Hotel Bintang,336/B
Kalisma  (Petamburan II),Jl. Aipda KS. Tubun No. 15-17,,,Jakarta Pusat,,PT. Senen Indah Plaza,021 5307020,021 5307034,Hotel Bintang,102/B2
Kawanua Aerotel,Jl. Cempaka Putih Timur XXIV No. 10,,,Jakarta Pusat,Alex M. T. Maneklaran,PT. Aero Wisata,021 4248768,021 4242397,Hotel Bintang,79/B
Keraton At The Plaza A Luxury,Jl. MH. Thamrin Kav. 15,1,2,Jakarta Pusat,Herman Heryadi Bunjamin,PT. Plaza Indonesia Realty Tbk.,021 50680000,021 50689999,Hotel Bintang,140/B
Kosenda,Jl. KH. Wahid Hasyim No. 127,,,Jakarta Pusat,Husin,PT. Benika Prima Loka,021 72797979,,Hotel Bintang,60/B
Le Grandeur,Jl. Mangga Dua Raya,,,Jakarta Pusat,Subagjo Hidayat,PT. Sinar Wisata Lestari,021 6428811,021 6128822,Hotel Bintang,351/B4
Le Meridien Jakarta,Jl. Jend Sudirman Kav. 18 - 20,,,Jakarta Pusat,R. Kurniawati Probosutedjo,PT. Wisata Triloka Buana,021 2513131,021 5711378,Hotel Bintang,346/B5
Lumire Hotel,Jl. Senen  Raya No. 135,,,Jakarta Pusat,"Herman S Silalahi, SE",PT. Segitiga Plaza Hotel,021 3442828,021 3442929,Hotel Bintang,368/B4
Malioboro,Jl. Gajah Mada No. 13H,,,Jakarta Pusat,Rudy Susanto,PT. Global Arta Berjaya,021 63850000,021 6347524,Hotel Bintang,60/B3
Mandarin Oriental Jakarta,Jl. MH. Thamrin,1,2,Jakarta Pusat,Mark Samuel Bradford,PT. Jaya Mandarin Agung,021 39838888,021 5263922,Hotel Bintang,272/B5
Marcopolo,Jl. Teuku Cik Ditiro No. 19,,,Jakarta Pusat,"Benny Rambe, SH",,021 31926679,021 3207138,Hotel Bintang,191/B3
Max One Hotels.Com @ Sabang,Jl. KH. Agus Salim No. 24,,,Jakarta Pusat,Julius Octavianus Ruslan,PT. Batavia Land,021 3166888,021 3922157,Hotel Bintang,87/B1
Maxim Asri,Jl. Kwitang Raya No. 11,,,Jakarta Pusat,Navies,PT. Hotel Maxim Asri,,,Hotel Bintang,39/B2
Mega,Jl. Proklamasi No. 40,,,Jakarta Pusat,Sujana,PT. Mega Jaya Adisempurna,021 3923131,021 3152173,Hotel Bintang,108/B2
Mega Cikini,Jl. Cikini Raya No. 62-64,,,Jakarta Pusat,Sujana,PT. Citrapuri Bhumicikini,021 3140883,021 3140701,Hotel Bintang,80/B
Megah Internasional,Jl. Bungur Besar Raya No. 31,,,Jakarta Pusat,Ong Mie Kia,CV. Hotel Megah Internasional,021 4259781,021 4259780,Hotel Bintang,20/B1
Menteng I,Jl. RP. Soeroso No. 28,,,Jakarta Pusat,Indra Teja Kamarudin,PT. Menteng Sarana Wisata,021 325543,021 3144151,Hotel Bintang,150/B2
Menteng II,Jl. Cikini Raya No. 105,,,Jakarta Pusat,Indra Teja Kamarudin,PT. Menteng Sarana Wisata,021 31925543,021 321311,Hotel Bintang,70/B2
Merlynn Park Hotel,Jl. KH. Hasyim Ashari No. 29-31,,,Jakarta Pusat,Luhur Wibowo Hidayat,PT. Merlynn Park Hotel,021 30026888,021 30026888,Hotel Bintang,301/B5
Mid Plaza/Kempinsky,Jl. Jend. Sudirman,,,Jakarta Pusat,,PT. Prima Adhitama International Dev,021 2510888,021 2511777,Hotel Bintang,492/B5
Mirah,Jl. Gunung Sahari XII No. 18,,,Jakarta Pusat,Atam Sentjaja,PT. Beringin Selaras Graha,021 6598250,021 6598255,Hotel Bintang,61/B1
Morrissey,Jl. KH. Wahid Hasyim No. 70,,,Jakarta Pusat,Widijoso Sianandar,PT. Icon Menara Samudera,021 29933333,021 29933333,Hotel Bintang,135/B
Mulia Senayan,Jl. Asia Afrika No. 1,,,Jakarta Pusat,Suryati Benniardi,PT. Mulia Intan Lestari,021 5747777,021 5747885,Hotel Bintang,889/B5
New Harmoni,Jl. Hayam Wuruk No. 1,,,Jakarta Pusat,Rani Ventaria,PT. Harmoni Prima Jaya,,,Hotel Bintang,68/B
Nusantara,Jl. KH. Mas Mansyur No. 36,,,Jakarta Pusat,,,021 3140307,021 327083,Hotel Bintang,55/B1
Nusantara Indah,Jl. KH. Mas Mansyur No. 36,,,Jakarta Pusat,Azmi Ghozi Harharah,CV. Nusantara Bersaudara,,,Hotel Bintang,55/B1
ORCHARDZ,Jl. Industri Raya No. 8,,,Jakarta Pusat,Drs. Sugiarto Hardjo,PT. Kapuas Cemerlang Maju,021 62317788,021 62317788,Hotel Bintang,153/B3
Oasis Amir Hotel,Jl. Senen Raya  Kav. 135-137,,,Jakarta Pusat,Ir. Jang Achir Judi,PT. Angku Suku Rangkayo Mulia,021 3863062,021 3863061,Hotel Bintang,250/B3
Orchardz P. Jayakarta,Jl. P. Jayakarta Blok 44 No. 7-8,,,Jakarta Pusat,Juanda,PT. Gaya Wahana Inti,021 6287888,021 6289558,Hotel Bintang,160/B3
Paragon,Jl. KH. Wahid Hasyim No. 5,,,Jakarta Pusat,,,021 3917070,021 3160715,Hotel Bintang,78/B3
Pardede International,Jl. Raden Saleh I No. 9-11,,,Jakarta Pusat,Jhonny Pardede,PT. Jhonny Pardede,021 3146270,021 323868,Hotel Bintang,72/B3
Pasar Baru Hotel,Jl. Pasar Baru Selatan No. 6,,,Jakarta Pusat,,PT. Sentraria Pasar Baru Hotel,021 3681084,021 3861887,Hotel Bintang,110/B
