nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas
7 - ELEVEN,Jakarta Selatan,Jl. RS. Fatmawati No. 4,1,4,Henri Honoris,PT. Modern Putra Indonesia,021 47861358,021 47861358,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Mampang Prapatan Raya No. 1,,,Henri Honoris,PT. Modern Putraindonesia,021 2801000,021 8581620,Cafetaria,9/40
7 - ELEVEN,Jakarta Selatan,Jl. Dr. Saharjo No. 321,10,11,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8561620,Cafetaria,20/80
7 - ELEVEN,Jakarta Selatan,Jl. Kemang Raya I No. 8A,,,Henri Honoris,PT. Modern Putra Indonesia,021 71823977,021 2801000,Cafetaria,20/80
7 - ELEVEN,Jakarta Selatan,Jl. Buncit Raya No. 40,14,2,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,13/59
7 - ELEVEN,Jakarta Selatan,Jl. Jend. Gatot Subroto Kav. 94,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Raya Pejaten No. 20 A,10,2,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Cileduk Raya No. 3,1,3,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,8/32
7 - ELEVEN,Jakarta Selatan,Jl. RC. Veteran K-8,4,3,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,28/112
7 - ELEVEN,Jakarta Selatan,Jl. Minangkabau No. 43,,,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,54/148
7 - ELEVEN,Jakarta Selatan,"The H Tower GF, Jl. HR. Rasuna Said Kav. C.20",,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. H.R Rasuna Said Kav. C-22,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8561620,Cafetaria,22/88
7 - ELEVEN,Jakarta Selatan,Jl. Prof. Dr. Satrio,1,1,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,7/44
7 - ELEVEN,Jakarta Selatan,Jl. Jend. Gatot Subroto Kav. 18-20,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Manggarai Utara No. 1,,,Henri Honoris,PT. Modern Putra Indonesia,,,Cafetaria,10/40
7 - ELEVEN,Jakarta Selatan,Jl. Ciputat Raya No. 2,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,8/36
7 - ELEVEN,Jakarta Timur,Jl. Balai Pustaka Timur No. 5,,,Henri Honoris,PT. Modern Putra Indonesia,021 47861358,021 47861358,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Matraman Raya No. 12,2,1,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 8581620,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Matraman Raya No. 159,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Jatiwaringin Raya No. 12,7,13,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Pusat Grosir Cililitan (PGC) Lantai Ground Stall,,,Henri Honoris,PT. Modern Putra Indonesia,021 30016789,021 30019010,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Jatinegara Timur 107B RT001/RW002,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
7 - ELEVEN,Jakarta Timur,Jl. Otista Raya No. 63,,,Henri Hionoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,18/86
7 - ELEVEN,Jakarta Timur,Jl. Perumnas Raya Komp.Buaran Indah No. 104,,,Henri Honoris,PT. Modern Putra Indonesia,021 8352626,021 8352626,Cafetaria,14/90
7 - ELEVEN,Jakarta Timur,Jl. Pahlawan Revolusi No. 5,,,Henri Honoris,PT. Modern Putra Indonesia,021 2801000,021 2801000,Cafetaria,10/40
