nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas,
CFC,Jakarta Barat,Jl. Hayam Wuruk No. 108,,,Djoko Sardjono,PT. Bina Reksa Eka Jaya,021 6264567,021 6284567,Bar,2015-01-10,
Cheese Cake Factory,Jakarta Barat,Jl. Tomang Raya No. 41,,,De Silva U Chandra Sri Lal,PT. Desserta Faktori Gelato,,,Bar,2015-01-10,
Cherry Sauna & Massage,Jakarta Barat,"Komp. THR Lokasari, Jl. Mangga Besar Raya No.",,,Willy Mindjaja,PT. Idola Mitra Sejati,,,Bar,2015-01-10,
Cinta Music Café - CMC,Jakarta Barat,Jl. Mangga Besar Raya No. 93 BB - CC,,,Armen Habanzha,Armen Habanzha,021 96662658,,Bar,2015-01-10,
City Extra,Jakarta Barat,Jl. Tanjung Duren Raya No. 1G,3,5,Janto,PT. Tritunggal Jaya Cemerlang,,,Bar,2015-01-10,
Club 36,Jakarta Barat,Jl. Hayam Wuruk No. 126,,,Boyke Jatikusuma,PT. PARAMITA INTI UTAMA,021 6269666,021 6267666,Bar,2015-01-10,
Club Nebula,Jakarta Barat,"Central Park Mall Lt. 8 Lot 3A, Jl. Letjend S. Parman",,,Irwan Gunawan Lie,PT. Nebula Interten,,,Bar,2015-01-10,
D' Asti Lounge,Jakarta Barat,Jl. Letjen. S. Parman,,,Michael Andy Prayitno L,PT. Mitra Buana Intimas,,,Bar,2015-01-10,
D' Asti Lounge,Jakarta Barat,Jl. Puri Indah Raya,,,Micheal Andy Prayitno L,PT. Mitra Buana Intimas,,,Bar,2015-01-10,
D' Asti Lounge,Jakarta Barat,Jl. Letjen. S. Parman,,,Johan Manese Wattimena,PT. Mitra Kreasi Kuliner,,,Bar,2015-01-10,
D' Asti Lounge,Jakarta Barat,Jl. Gajah Mada,,,Michael Andy Prayitno L,PT. Mitra Buana Intimas,,,Bar,2015-01-10,
D' Asti Wines And Spirits Lounge,Jakarta Barat,ST. Moritz Puri Indah Lt. G Jl. Komp. Perum Puri,,,Irwan Gunawan Lie,PT. Mitra Kreasi Kuliner,,,Bar,2015-01-05,
D V,Jakarta Barat,Jl. Pangeran Jayakarta No. 45,,,Lim Rully,Lim Rully,021 6244881,021 6244881,Bar,2015-01-10,
Da Fu Hao,Jakarta Barat,Jl. Hayam Wuruk No. 72,,,Liauw Beng Tjoan,PT. Banyu Biru Pratama,,,Bar,2015-01-10,
De Rivier,Jakarta Barat,Jl. Kali Besar Barat No. 44 - 46,,,Fuad Djapar,PT. Wahana Andamari,021 6915973,021 6915974,Bar,2015-01-10,
Delta Raya Pratama,Jakarta Barat,Komplek Mutiara Taman Palem Blok C 1 No. 1,,,Simon Prasetio Liauw,CV. Delta Citra Palma Fortuna,,,Bar,2015-01-10,
Diamond Executive Club,Jakarta Barat,"Pertokoan Glodok Blustru Lt. 7, Jl. Blustru",,,Kwok Chandra Kusnadi,PT. Diamond Tirta Jaya,021 6253488,021 6253487,Bar,2015-01-10,
Diva,Jakarta Barat,Jl. Tampak Siring Blok KJ. No. 9-12,,,LISA,PT. Maritim Nusantara Persada,,,Bar,2015-01-10,
Diva,Jakarta Barat,"Central Park Shop Units TL. 1, Jl. Letjend. S. Parman",,,Tjhin Dianawi,PT. Gita Makmur Lestari,,,Bar,2015-01-10,
Diva,Jakarta Barat,Jl. Tampak Siring Blok KJ. 9-12,,,Lisa,PT. Martim Nusantara Persada,,,Bar,2015-01-10,
Diva,Jakarta Barat,Jl. Tampak Siring Blok KJ. No. 9-12,,,LISA,PT. Maritim Nusantara Persada,,,Bar,2015-01-10,
East West,Jakarta Barat,Jl. Letjen. S.Parman Kav. 72,,,Yossita Kurniawan,PT. Citi Champion,,,Bar,2015-01-10,
Exito,Jakarta Barat,Jl. Mangga Besar Raya No. 44,2,2,Rulli Maulana Muchidin,PT. Sumbermitra Asri Hotel,,,Bar,2015-01-10,
Fame,Jakarta Barat,"Central Park, Jl. Letjen. S. Parman Kav. 28",,,Jimmy Sastra,Jimmy Sastra,,,Bar,2015-01-10,
Furama,Jakarta Barat,Jl. Hayam Wuruk No. 45,,,Kho Pik Hiang,PT. Wahyu Bintang Sentosa,021 62575272,021 62575272,Bar,2015-01-10,
Golden Crown,Jakarta Barat,"Plaza Glodok, Jl. Pinangsia Raya No. 1",,,Rudy Gunawan,PT. Mahkota Aman Sentosa,021 62302888,021 62302878,Bar,2015-01-10,
Grand Laras Ayu,Jakarta Barat,Jl. P. Jayakarta No. 45 Blok C/23,,,Bengawan Sukandar,Bengawan Sukandar,,,Bar,Oct-40,
Grand Laras Ayu,Jakarta Barat,Jl. P. Jayakarta No. 45 Blok C/23,,,Bengawan Sukandar,Bengawan Sukandar,,,Bar,Oct-40,
Grand M T R,Jakarta Barat,Jl. P. Jayakarta 45 Blok D 10,,,Wiko Hong Gie Arifin,Wiko Hong Gie Arifin,,,Bar,2015-01-10,
Grand Monggo Mas,Jakarta Barat,Jl. Daan Mogot No. 49 RT005/RW003,,,Ivan Doly,-,,,Bar,2015-01-10,
Grand Paragon,Jakarta Barat,Jl. Gajah Mada No. 126,5,3,Theressia,PT. Gajah Mada Square,021 6258822,021 6252111,Bar,2015-01-10,
Grand Tjokro,Jakarta Barat,Jl. Daan Mogot No. 63,,,Poniman Asnim,PT. Karya Cipta Hotelindo,,,Bar,2015-01-10,
Happy Puppy,Jakarta Barat,Jl. Lingkar Luar Barat Blok A. Komp. Mutiara Ta,,,Hadi Saputra Sugianto,CV. Harmoni Kreasi,,,Bar,2015-01-10,
Happy Puppy,Jakarta Barat,Jl. Raya Panjang Blok Z2/41-42,,,Iwan Sunaryo,PT. Cipta Happy Sempurna,021 5816606,021 5816605,Bar,2015-01-10,
Happyness,Jakarta Barat,Jl. Hayam Wuruk No. 111,,,Soegianto,,021 6392673,,Bar,2015-06-24,
Hati Puspa,Jakarta Barat,Jl. Daan Mogot No. 39 DE,,,Jimmy Hendrawan,PT. Citra Gemilang Kencana Ria,021 5671743,021 5671743,Bar,2015-01-10,
Haze,Jakarta Barat,"THR. Lokasari Blok A/33-39, Jl. Mangga Besar",,,Djohari Zainurdin,PT. Hanggar Mitra,,,Bar,2015-01-10,
Hipsies Kitchen And Bar,Jakarta Barat,"Central Park, Jl. Letjen. S. Parman",,,Adrianus Eka Putra,PT. Boga Karya Sakti,021 83838201,021 56985336,Bar,2015-01-10,
Hog's Breath Café,Jakarta Barat,"Central Park TGF 15, Jl. Letjen. S. Parman Kav. 2",,,Rio Hermanto,PT. Indophoenix Global,021 6129051,,Bar,2015-01-10,
Illigal's,Jakarta Barat,Jl. Hayam Wuruk No. 108                                                  ,,,Khoe Yam Kusuma, PT. Sumber Sejahtera Sempurna    ,021 6298899,021 6298899,Bar,20/120,
Imperial Chef,Jakarta Barat,Jl. Hayam Wuruk No. 126,,,Lin Manuhutu,PT. Selera Pangeran Jayakarta,021 6262534,021 6264719,Bar,2015-01-10,
Inul Vizta,Jakarta Barat,Komp. Ruko Sunrise Garden Blok X No. 5 - 7,,,Jemmy Robert,CV. Vizta Inti Gemilang,,,Bar,2015-01-10,
Inul Vizta,Jakarta Barat,Jl. Letjen. S.Parman Kav. 21,,,Tjoeng Mie Lia,PT. Edelwais Abadi International,,,Bar,2015-01-08,
Juke Box,Jakarta Barat,Jl. Tanjung Duren Raya No. 11,,,Andereas,Andereas,,,Bar,2015-01-10,
J-Wine,Jakarta Barat,"The Foodhall Kb. Jeruk, Jl. Raya Perjuangan",,,Adji Aftab Rajramdhani,PT. Mitra Putera Indonesia,,,Bar,2015-05-30,
Kafe Batavia,Jakarta Barat,Jl. Pintu Besar Utara No. 14,,,Leonard Pandy Phua,PT. Kafé Batavia Fatahillah,021 6915531,021 6923842,Bar,2015-01-10,
Kartika,Jakarta Barat,Jl. Hayam Wuruk No. 114/32 A,,,Darwin Ngatino,CV. Amelco,,,Bar,2015-05-20,
Kitchenette,Jakarta Barat,"Central Park Mall Ground Floor, Jl. Letjen S.Parman",,,Brian Ivan Sutanto,PT. Kitchenette Lestari,,,Bar,2015-01-10,
La Biere,Jakarta Barat,"Central Park TGF Unit 9, Jl. Letjen S.Parman",,,Eva Tanuri,PT. Diva Sutan Kuliner,,,Bar,2015-01-10,
La Biere,Jakarta Barat,Jl. Letjen S.Parman Kav. 28,,,Eva Tanuri,PT. Diva Sutan Kuliner,,,Bar,2015-01-10,
Le Bar,Jakarta Barat,"Hotel Novotel Gajah Mada, Jl. Gajah Mada No. 18",,,William Honoris,PT. Mitra Mutiara Makmur,,,Bar,15/70,
Liberica,Jakarta Barat,"Mall Central Park, Jl. Letjen. S. Parman Kav. 28",,,Reeza Budhisurya,PT. Liberica,,,Bar,2015-01-10,
Liebar,Jakarta Barat,"Central Park Mall Lt. 8 Lot 3A, Jl. Letjend S. Parman",,,Irwan Gunawan Lie,PT. Nebula Interten,,,Bar,2015-01-10,
Little Sheep Shabu Shabu,Jakarta Barat,"Apartemen Mediterania, Jl. Gajah Mada No. 174",,,Srie Martina,PT. Prima Selera,021 57944281,021 57944282,Bar,2015-01-10,
Luciole Bistro,Jakarta Barat,"Central Park Mall, Jl. S. Parman Kav. 28",,,Emmy Majanirmala,PT. Ester Bogatama Raya,021 56988888,021 56988888,Bar,2015-03-10,
M L / Malam Lembayung,Jakarta Barat,Jl. Hayam Wuruk No. 120,,,Suryadi Widjaya,PT. Bonules,021 6293274,021 6293274,Bar,2015-02-10,
M T R,Jakarta Barat,Jl. P. Jayakarta 45 Blok D 10,,,Denny Herawan Susanto,Denny Herawan Susanto,021 6392861,021 6392861,Bar,2015-01-10,
M.W,Jakarta Barat,Jl. P. Tubagus Angke Blok V V No. 20,,,Tan Tjin Tjoe,CV. Westin International Entertainment,,,Bar,2015-01-10,
M.W,Jakarta Barat,Jl. P. Tubagus Angke Blok VV No. 20,,,Tan Tjin Tjoe,CV. Westin International Entertainmen,,,Bar,2015-01-10,
Maharaja,Jakarta Barat,Jl. Kebon Jeruk XIX,,,Agus Gunawan,,,,Bar,2015-01-10,
Manro's Cafe,Jakarta Barat,Jl. Bandengan Selatan No. 14,,,Sumarno,CV. Dunia Baru,,,Bar,2015-01-10,
Marno's Cafe,Jakarta Barat,Jl. Bandengan Selatan No. 14,,,Sumarno,CV. Dunia Baru,,,Bar,2015-01-10,
May Star,Jakarta Barat,"Central Park, Jl. LetJend S. Parman Kav. 28",,,Halim Juhanim,PT. Abadi Makmur Jaya Sejahtera,,,Bar,2015-01-10,
Mazel Tov,Jakarta Barat,"Puri Indah Mall Expansion GF E.007, Jl. Puri Agung",,,William Octavianus Mulijana,PT. Buana Rasa Indonesia,,,Bar,2015-01-10,
Medika,Jakarta Barat,Jl. Daan Mogot I No. 29 - 31,,,Rudi Susanto,Rudi Susanto,021 5665075,021 5665075,Bar,1940-11-01,
MG International Club,Jakarta Barat,Jl.TB. Angke Raya Blok V-V No. 16,,,Agung Ashari,Agung Ashari,,,Bar,2015-01-10,
Mille's,Jakarta Barat,"Lokasari Plaza Lt. IV, Jl. Mangga Besar Raya",,,Setiadi Kumala,PT. Hanggar Mega Musik Club,021 6254703,,Bar,2015-01-10,
Ministry Of Beer,Jakarta Barat,"Puri X'tertainment Pavilion St. Moritz, Jl. Puri Indah",,,Michael Alamsjah,PT. Mob Global Group,021 6616377,021 6611056,Bar,2015-01-10,
Mixx Grill,Jakarta Barat,"Central Park, Jl. Tanjung Duren Raya No. 5-9",,,Danandjaja Wanandi,PT. Jaddi Mixxindo Makmur,,,Bar,2015-01-10,
Mtv,Jakarta Barat,Jl. P. Jayakarta No. 45 Blok B. 21,,,Tjoe Mie Sen,Tjoe Mie Sen,021 6495740,021 6495740,Bar,2015-01-10,
Muze,Jakarta Barat,Green Garden Blok Y3 No. 3-5,,,Thomas Yu,Thomas Yu,,,Bar,2015-01-10,
My Madona Club,Jakarta Barat,Jl. Mangga Besar VII No. 587,,,Eddi Ahmad,PT. Kharisma Indo Makmur,021 6593559,021 6593559,Bar,1940-10-01,
My Place,Jakarta Barat,Jl. Kedoya Blok Plaza Blok B-C No.40,,,Jhoni Mery,PT. Royal Persada Semesta,,,Bar,2015-01-10,
Nav,Jakarta Barat,"Mal Ciputra, Jl. Letjen. S. Parman",,,Jakub Setjoatmadja,PT. Nav Jaya Mandiri,021 5662121,021 5662255,Bar,2015-01-10,
New Bintang Mawar,Jakarta Barat,Jl. Mangga Besar VII/17-19,,,Andri Oh,Andri Oh,,,Bar,2015-01-10,
New Bintang Mawar,Jakarta Barat,Jl. Mangga Besar VII/17-19,,,Andri Oh,Andri Oh,,,Bar,2015-01-10,
New Idola,Jakarta Barat,Jl. Mangga Besar VIII No. 12,,,Raymond Wiraputra,,,,Bar,2015-01-10,
New Royal,Jakarta Barat,"Komp. Kota Indah, Jl. Pangeran Jayakarta No. 45",,,Hartanto Halim                                 ,,021 6495456,021 6495456,Bar,2015-01-10,
New Sari Ayu,Jakarta Barat,Jl. P. Jayakarta No. 45 Blok B-43,,,Hendy Widjaja                                            ,,021 6296486,021 6296486,Bar,2015-01-10,
New Sari Mustika,Jakarta Barat,Jl. Mangga Besar Raya No. 38 AO,,,Hermawan Susanto                             ,,021 6495808,,Bar,2015-07-18,
New Top 10 Club,Jakarta Barat,Jl. Kebon Jeruk XIX No. III YZ - ZA,,,Tjong Lim Fah                                            ,CV. TT                                                         ,,,Bar,2015-01-10,
New Town,Jakarta Barat,Komp. THR Lokasari B/1-18,2,2,Suwiman                                                    ,PT. Graha Indo Sejahtera                              ,,,Bar,2015-01-10,
New Town,Jakarta Barat,Ruko Permata Lokasari Blok B No. 1,,,Sumiwa                                                     ,PT. Graha Indo Sejahtera                               ,,,Bar,2015-01-10,
New Unicorn,Jakarta Barat,Jl. Mangga Besar Raya Blok C No. 1,,,Lyna Rusli                                                    ,PT. Nuha Tritunggal Mulia Perkasa              ,,,Bar,2015-01-10,
Ninety Nine,Jakarta Barat,Jl. Pesanggrahan Raya No. 2,1,9,Nugroho Setiadharma                               ,PT. Supra Boga lestari                         ,021 58351999,021 58350999,Bar,2015-02-04,
Ninety Nine,Jakarta Barat,Jl. Pesanggrahan Raya No. 2,1,9,Nugroho Setiadharma                               ,PT. Supra Boga lestari                             ,021 58351999,021 58350999,Bar,2015-02-04,
Nuansa Pelangi 8,Jakarta Barat,Jl. Labu No. 7-8-9,,,Auw Thian Beng                                           ,CV. Nuansa Pelangi 8                                ,,,Bar,2015-01-10,
Oasis,Jakarta Barat,Jl. Mangga Besar Raya No. 64 B,,,Thio Tjun Hauw                                           ,PT. Megah Oasis Utama                           ,021 3150646,021 31937131,Bar,2015-01-10,
Old City,Jakarta Barat,Jl. Kali Besar Barat No. 22,,,Martin Unsulangi Heng                           ,PT. Progres Karya Sejahtera                   ,021 6916688,021 6919770,Bar,2015-01-10,
Olympic,Jakarta Barat,"Komp. Lokasari, Jl. Mangga Besar Raya No. 81",,,Swedy Talimin Aman                                     ,PT. Bercindo Bersama Jaya                         ,,,Bar,2015-01-10,
Orange,Jakarta Barat,"Mall Taman Palem Lt. 5, Jl. Kamal Raya Outer Ring Road",,,Amin Lowanto,PT. Bangun Cipta Karya Perkasa,,,Bar,2015-01-10,
Pancoran Jaya,Jakarta Barat,Jl. Pancoran Raya No. 38 Blok B Lt.2,,,Drs. Dewa Putu Sudhi                               ,Drs. Dewa Putu Sudhi                           ,021 63856278,021 63856278,Bar,15/60,
Panic Room Karaoke,Jakarta Barat,"PX Pavilion @ The St. Moritz, Jl.Puri Indah Raya",,,Rudy Wijaya                                                   ,PT. Art Creative Entertainment                     ,,,Bar,2015-01-10,
Paradise Dynasty,Jakarta Barat,"Central Park Lt. LG U L-139 & L-140, Jl. Letjen. S.Parman",,,Kusnadi Rahardja                                          ,PT. Boga Makmur Dinasti                             ,021 7235408,021 7235141,Bar,2015-01-10,
Paradise INN,Jakarta Barat,"Mall Puri Indah Lt. 1 Unit 102, Jl. Puri Agung Raya",,,Kusnadi Rahardja                                ,PT. Boga Makmur Intipangan                       ,021 7235408,021 7235141,Bar,2015-01-10,
Pegasus,Jakarta Barat,Jl. Pinangsia II No. 14-16,,,Agus Sandy Tanudjaya                                ,PT. Pegasus Mitra Makmur                             ,021 5338098,021 556338,Bar,2015-01-10,
Permai,Jakarta Barat,Jl. Mangga Besar Raya No. 24,,,Sherly                                                   ,PT. Sugindo Impressa Permai                      ,021 6282520,021 6282522,Bar,20/80,
Permata,Jakarta Barat,Jl. Surya Wiropranoto,,,Wijaya Mulia                                                ,,021 6288989,,Bar,1940-10-01,
Pinangsia,Jakarta Barat,Jl. Pinangsia I No. 55,,,Polentinus Popoh                                       ,PT. Pinangsia Hotelindo,021 6246478,,Bar,20/80,
Pizza E Birra,Jakarta Barat,"Central Park Mall GF, Jl. Letjen. S. Parman",,,Christian Rijanto                                  ,PT. Kharisma Birra Sejahtera                         ,,,Bar,2015-01-10,
Pizza E Birra,Jakarta Barat,"Puri Indah Mall, Jl. Puri Agung",,,Christian Rijanto,PT.Kharisma Birra Sejahtera,,,Bar,2015-01-10,
Princess,Jakarta Barat,Jl. Lingkar Luar Barat No. 3,,,Ivan Dolly,,,,Bar,2015-01-10,
Princess Syahrini,Jakarta Barat,Mall Taman Anggrek Lt. 6 Jl. Letjen. S. Parman,,,"Puguh Hermawan, ST",PT. Edelwais Abadi International,021 5609969,021 5609969,Bar,2015-01-10,
R & B,Jakarta Barat,Jl. Daan Mogot No. 119 Blok C No. 1-2,,,TJHIE CHE YUNG,Tjie Che Yung,,,Bar,2015-01-10,
Raja Club 121,Jakarta Barat,Jl. Jembatan II Barat ( Pintu Air ) RT007/RW010,,,Martono Bin Slamet,Martono Bin Slamet,,,Bar,2015-01-10,
Ratu Ayu,Jakarta Barat,Jl. P. Tubagus Angke No. 19 ABCD,,,Suryadi,Suryadi,021 5640776,021 5640776,Bar,2015-01-10,
Ratu Ayu,Jakarta Barat,Jl. P. Tubagus Angke No. 19 ABCD,,,Suryadi,Suryadi,021 5640776,021 5640776,Bar,2015-01-10,
Ratu Ayu,Jakarta Barat,Jl. Hayam Wuruk III - Z D,,,Hermawan Susanto,,021 6260825,021 6260825,Bar,2015-06-24,
Royal Mas,Jakarta Barat,Jl. Hayam Wuruk 114 Blok A No. 26,,,Herlina,Herlina,021 6595922,021 6595922,Bar,2015-01-10,
Royal Mas,Jakarta Barat,Jl. Hayam Wuruk 114 Blok A No. 26,,,Herlina,Herlina,021 6595922,021 6595922,Bar,2015-01-10,
Sababay,Jakarta Barat,Commercial Area Green Central City Lt. Dasar U,,,Henky Silankay,,021 63854318,021 663852777,Bar,2015-01-10,
Sahabat,Jakarta Barat,Jl. Daan Mogot No. 121 RT003/RW005,,,Bagong Supriyadi,Bagong Supriyadi,,,Bar,2015-01-10,
Sedap Malam,Jakarta Barat,Jl. Hayam Wuruk 111 K-L-M-N,,,Ade Kusnarto,CV. Kawan Makmur Abadi,,,Bar,2015-01-10,
Siera,Jakarta Barat,Jl. Mangga Besar VII No. 63 P ,1,2,Lie Lian Kwie,,,,Bar,1970-12-01,
Siera,Jakarta Barat,Jl. Mangga Besar Raya No. 65,1,2,Lie Lian Kwie,,,,Bar,2015-01-10,
Sms,Jakarta Barat,Jl. Daan Mogot RT008/RW004,,,Cynthia Vidiningrum,PT. SMS NUSANTARA,021 5600243,021 75904225,Bar,2015-01-10,
Society +,Jakarta Barat,"Central Park, Jl. Letjen. S. Parman Kav. 28",,,Pujiono Sudargo,PT. Pratama Kafe Megah Makmur,021 72795127,021 56988888,Bar,2015-01-10,
Stadium,Jakarta Barat,Jl. Hayam Wuruk No. 111 GG. HH-JJ,,,Rudy Susanto,PT. Graha Rekreasi Berjaya,021 6596375,021 6596375,Bar,2015-01-10,
Sun City,Jakarta Barat,"Lindeteves Trade Center, Jl. Hayam Wuruk No. 1",,,Agus Soegiarto,PT. Prima Cipta Sentosa,021 62201900,021 62201900,Bar,2015-01-10,
Super,Jakarta Barat,Jl. Labu No. 1 E RT006/RW003,,,Russel Bing Wiratama,PT. Super Karsa Permana,021 6496716,021 6911261,Bar,2015-01-10,
Sushi Tei,Jakarta Barat,"Central Park, Jl. Letjen. S. Parman Kav. 28",,,Kusnadi Rahardja,PT. Sushi-Tei Indonesia,021 56985276,021 56985277,Bar,2015-01-10,
Sushigroove,Jakarta Barat,"Mal Taman Anggrek, Jl. Jend. S. Parman",,,Theodorus Januar Widjaja,PT. Ismaya Sushigroove,,,Bar,2015-01-10,
The Barrel,Jakarta Barat,Jl. Arteri Kebon Jeruk,,,Herodidjaja Effendie,PT. Vintage International,,,Bar,2015-01-10,
The Club 369,Jakarta Barat,Jl. Prof. Dr. Latumenten No. 33,,,"Nusantio Setiadi, SH, MM",PT. Penta Utama Sakti,021 29707144,021 207071221,Bar,2015-01-10,
The Company House & Of Steak,Jakarta Barat,Jl. Mangga Besar Raya No. 81,,,Rynold Indrajaya,CV. Graha Mandiri,,,Bar,2015-01-10,
The Company House & Of Steak,Jakarta Barat,Jl. Mangga Besar Raya No. 81,,,Rynold Indrajaya,CV. Graha Mandiri,,,Bar,2015-01-10,
The Factory Bistro & Bar,Jakarta Barat,St. Moritz Mall Lantai Dasar Unit GF-98,,,Karina Suria Putra,PT. Inti Rasa Lestari,021 90310331,,Bar,2015-01-10,
The VG PUB,Jakarta Barat,Jl. Pintu Besar Utara No. 21,,,Eddy Bharjawantjana,Eddy Bharjawantjana,021 69085061,021 69085061,Bar,1940-10-01,
Top I,Jakarta Barat,Jl. Daan Mogot II No. 100 TU,,,Johan Tjhie,CV. Top One,021 52728572,021 52728572,Bar,2015-01-10,
Traffic,Jakarta Barat,Jl. Daan Mogot No. 77 B,5,1,Ardiyanto,PT. Iwansanta,021 69705628,021 6970658,Bar,15/40,
Trattoria,Jakarta Barat,Lippo Mal Puri @The St. Moritz Unit G-99 GF,,,Rully Priyadipta,PT. Kuantum Sukses Indonesia,,,Bar,2015-01-08,
Vines,Jakarta Barat,"Hypermart Puri Indah, Jl. Puri Indah Raya",,,Johan Mamese Wattimena,PT. MAKSIMA KARYA SAKTI,021 31923435,021 31623441,Bar,2015-01-10,
V-Shop,Jakarta Barat,City Resort Residence Tower Bougenville Lt. D/0,,,Kelly,PT. Mikolindo Cemerlang,,,Bar,2015-01-10,
Widya Prambanan,Jakarta Barat,Jl. Daan Mogot I No. 11,,,Alwi Njotoatmodjo,Alwi Njotoatmodjo,,,Bar,1940-10-01,
127 Cafe,Jakarta Pusat,Jl. KH. Wahid Hasyim No. 127 Ground Floor,,,Ruben Rayong Kosenda,PT. Benika Prima Selera,,,Bar,2015-01-10,
127 Cafe,Jakarta Pusat,Jl. KH. Wahid Hasyim No. 127 Ground Floor,,,Ruben Rayong Kosenda,PT. Benika Prima Selera,,,Bar,2015-01-10,
After Hour,Jakarta Pusat,"Gd. Sarinah Jl. MH. Thamrin No.11,  Lt II",,,Daniel Indra Djajadi,PT. Mitra Sukses Sejahtera,021 39832047,021 39832048,Bar,2015-01-10,
Ah Yat Abalone Forum,Jakarta Pusat,Hotel Golden Boutique Jl. Angkasa No. 1,,,Agus Intojo,PT. Ahyat Abalone Forum Restaurant,,,Bar,2015-01-10,
Ah Yat Abalone Forum,Jakarta Pusat,Mid Plaza Jl. Jend. Sudirman Kav. 10 - 11,,,Agus Intojo,PT. Ah Yat Abalone FR,021 5707333,021 5739922,Bar,2015-01-10,
Ah Yat Seafood Restaurant,Jakarta Pusat,Jl. Pintu V,,,Agus Intojo,PT. Unique Seafood Market,,,Bar,2015-01-10,
Alis,Jakarta Pusat,Jl. Jaksa No. 25,,,Ni Nyoman Parwati,,021 31900807,,Bar,2015-04-10,
Ambassade,Jakarta Pusat,Jl. Tanah Abang V No. 12 B,,,Rosyah,PT. Ambassade Wiro Pratama,021 3808646,021 3808646,Bar,2015-01-10,
American Chili's Grill & Bar,Jakarta Pusat,Gd. Sarinah Jl. MH. Thamrin No. 11,,,Toto Setijooetomo,PT. Pacific Tata Boga,021 3146587,021 3146587,Bar,2015-01-10,
Apero,Jakarta Pusat,City Lofts Jl. KH. Mas Mansyur No. 121,,,Khouw Moi Tjhian,PT. Lentera Esa Permata,021 5223982,021 52920537,Bar,2015-01-10,
Arella,Jakarta Pusat,Jl. M.H. Thamrin Kav. 28 - 30,,,Caroline Ruth Sumendap,PT. Marmitria Kafindo Sukses,021 5725411,021 5725412,Bar,2015-01-10,
Asmoro,Jakarta Pusat,Jl. Blora No. 17,,,Agustinus Affendie Sastra,CV. Narestu,021 3918405,021 3918405,Bar,20/80,
Auditorium Blitzmegaplax,Jakarta Pusat,Grand Indonesia Jl. MH. Thamrin No. 1,,,Ananda Haris Siregar,PT. Graha Layar Prima,021 3144657,021 3144657,Bar,2015-01-10,
Auroz,Jakarta Pusat,Gd. Menara Merdeka Lot. Ground Floor 03 Jl. Bu,,,Rajendra Thalib,PT. Boga Mitra Gemilang,021 3505141,021 3505141,Bar,2015-01-10,
Awan Lounge,Jakarta Pusat,Jl. KH. Wahid Hasyim No. 127 Ground Floor,,,Ruben Rayong Kosenda,PT. Bineka Prima Selera,,,Bar,2015-01-10,
